Country/Region,8/26/20
India,3310234
Indonesia,160165
Pakistan,294193
Bangladesh,302147
Japan,64779
Philippines,202361
Vietnam,1034
Turkey,262507
Iran,365606
Thailand,3404
Iraq,215784
Afghanistan,38113
Saudi Arabia,310836
Uzbekistan,39964
Malaysia,9291
Yemen,1930
Nepal,34418
Sri Lanka,2984
Kazakhstan,105243
Syria,2440
Cambodia,273
Jordan,1756
Azerbaijan,35707
United Arab Emirates,68020
Tajikistan,8413
Israel,108403
Laos,22
Lebanon,14248
Kyrgyzstan,43358
Singapore,56495
Oman,84818
Kuwait,82271
Georgia,1436
Mongolia,301
Armenia,43067
Qatar,117742
Bahrain,50393
Timor-Leste,26
Cyprus,1484
Bhutan,173
Maldives,7225
Brunei,144
